phone_names,ratings,reviews,price,offer,ram,rom,screen_size,expandable,rear_camera,front_camera,battery,processor
POCO M6 Pro 5G Power Black,"41,459","2,788","₹15,999","₹10,999",4 GB RAM ,128 GB ROM,17.25 cm (6.79 inch) ,yes,50MP + 2MP , 8MP Front Camera,5000 mAh Battery,Snapdragon 4 Gen 2 Processor
POCO C55 Power Black,"87,684","5,221","₹13,999","₹7,799",6 GB RAM ,128 GB ROM,17.04 cm (6.71 inch) HD+ Display,yes,50MP Dual Rear Camera , 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor
MOTOROLA g54 5G Pearl Blue,"32,479","2,884","₹21,999","₹16,999",12 GB RAM ,256 GB ROM,16.51 cm (6.5 inch) ,yes,50MP (OIS) + 8MP , 16MP Front Camera,6000 mAh Battery,Dimensity 7020 Processor
POCO C50 Royal Blue,"21,803","1,355","₹9,999","₹5,799",3 GB RAM ,32 GB ROM,16.56 cm (6.52 inch) HD+ Display,yes,8MP Dual Camera , 5MP Front Camera,5000 mAh Lithium Polymer Battery,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor"
MOTOROLA e13 Aurora Green,"18,817","1,163","₹10,999","₹7,999",8 GB RAM ,128 GB ROM,16.51 cm (6.5 inch) HD+ Display,yes,13MP Rear Camera , 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor
REDMI 12 Moonstone Silver,"23,733","1,661","₹15,999","₹10,499",6 GB RAM ,128 GB ROM,17.25 cm (6.79 inch) ,yes,50MP + 8MP + 2MP , 8MP Front Camera,5000 mAh Battery,Helio G88 Processor
MOTOROLA g54 5G Midnight Blue,"32,479","2,884","₹21,999","₹16,999",12 GB RAM ,256 GB ROM,16.51 cm (6.5 inch) ,yes,50MP (OIS) + 8MP , 16MP Front Camera,6000 mAh Battery,Dimensity 7020 Processor
POCO M6 Pro 5G Forest Green,"41,459","2,788","₹15,999","₹10,999",4 GB RAM ,128 GB ROM,17.25 cm (6.79 inch) ,yes,50MP + 2MP , 8MP Front Camera,5000 mAh Battery,Snapdragon 4 Gen 2 Processor
REDMI Note 12 Pro 5G Glacier Blue,"47,872","4,558","₹27,999","₹21,999",6 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) ,,50MP (OIS) + 8MP + 2MP , 16MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Dimensity 1080 Processor
REDMI 12 Jade Black,"23,733","1,661","₹15,999","₹10,499",6 GB RAM ,128 GB ROM,17.25 cm (6.79 inch) ,yes,50MP + 8MP + 2MP , 8MP Front Camera,5000 mAh Battery,Helio G88 Processor
POCO C51 - Locked with Airtel Prepaid Power Black,"1,33,361","7,456","₹9,999","₹5,749",4 GB RAM ,64 GB ROM,16.56 cm (6.52 inch) HD+ Display,yes,8MP Dual Rear Camera , 5MP Front Camera,5000 mAh Battery,Helio G36 Processor
OPPO Reno10 5G Silvery Grey,"33,658","4,175","₹38,999","₹32,999",8 GB RAM ,256 GB ROM,17.02 cm (6.7 inch) ,,64MP + 32MP + 8MP , 32MP Front Camera,5000 mAh Battery,Mediatek Dimensity 7050 Processor
MOTOROLA g54 5G Mint Green,"23,273","2,314","₹17,999","₹14,999",8 GB RAM ,128 GB ROM,16.51 cm (6.5 inch) ,yes,50MP (OIS) + 8MP , 16MP Front Camera,6000 mAh Battery,Dimensity 7020 Processor
REDMI A2 Aqua Blue,"14,094",858,"₹10,999","₹6,637",4 GB RAM ,64 GB ROM,16.56 cm (6.52 inch) Display,,8MP Rear Camera,,5000 mAh Battery,
